"STATISTIC","STATISTIC Label","TLIST(M1)","Month","C02064V02491","Type of Milk","UNIT","VALUE"
"AKM02","Milk Sales (Dairy) for Human Consumption","200406","2004 June","013","Skimmed and Semi-skimmed milk","Million Litres","10.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200406","2004 June","014","Skimmed Milk","Million Litres","1.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200406","2004 June","015","Semi-skimmed milk","Million Litres","9"
"AKM02","Milk Sales (Dairy) for Human Consumption","200407","2004 July","001","All Milk","Million Litres","43.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","200407","2004 July","012","Whole Milk","Million Litres","33.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","200407","2004 July","013","Skimmed and Semi-skimmed milk","Million Litres","10.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200407","2004 July","014","Skimmed Milk","Million Litres","1.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200407","2004 July","015","Semi-skimmed milk","Million Litres","9.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","200408","2004 August","001","All Milk","Million Litres","44.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","200408","2004 August","012","Whole Milk","Million Litres","33.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200408","2004 August","013","Skimmed and Semi-skimmed milk","Million Litres","10.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","200408","2004 August","014","Skimmed Milk","Million Litres","1.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200408","2004 August","015","Semi-skimmed milk","Million Litres","9.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","200409","2004 September","001","All Milk","Million Litres","44.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","200409","2004 September","012","Whole Milk","Million Litres","33.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200409","2004 September","013","Skimmed and Semi-skimmed milk","Million Litres","10.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200409","2004 September","014","Skimmed Milk","Million Litres","1.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200409","2004 September","015","Semi-skimmed milk","Million Litres","9.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","200410","2004 October","001","All Milk","Million Litres","43.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200410","2004 October","012","Whole Milk","Million Litres","32.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","200410","2004 October","013","Skimmed and Semi-skimmed milk","Million Litres","10.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200410","2004 October","014","Skimmed Milk","Million Litres","1.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200410","2004 October","015","Semi-skimmed milk","Million Litres","9.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","200411","2004 November","001","All Milk","Million Litres","43.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","200411","2004 November","012","Whole Milk","Million Litres","32.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","200411","2004 November","013","Skimmed and Semi-skimmed milk","Million Litres","10.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200411","2004 November","014","Skimmed Milk","Million Litres","1.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200411","2004 November","015","Semi-skimmed milk","Million Litres","9"
"AKM02","Milk Sales (Dairy) for Human Consumption","200412","2004 December","001","All Milk","Million Litres","43.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","200412","2004 December","012","Whole Milk","Million Litres","32.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","200412","2004 December","013","Skimmed and Semi-skimmed milk","Million Litres","10.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200412","2004 December","014","Skimmed Milk","Million Litres","1.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200412","2004 December","015","Semi-skimmed milk","Million Litres","9.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","200501","2005 January","001","All Milk","Million Litres","43.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200501","2005 January","012","Whole Milk","Million Litres","32.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","200501","2005 January","013","Skimmed and Semi-skimmed milk","Million Litres","10.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","200501","2005 January","014","Skimmed Milk","Million Litres","1.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200501","2005 January","015","Semi-skimmed milk","Million Litres","9.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","200502","2005 February","001","All Milk","Million Litres","40.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200502","2005 February","012","Whole Milk","Million Litres","30.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","200502","2005 February","013","Skimmed and Semi-skimmed milk","Million Litres","10.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","200502","2005 February","014","Skimmed Milk","Million Litres","1.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200502","2005 February","015","Semi-skimmed milk","Million Litres","8.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","200503","2005 March","001","All Milk","Million Litres","45.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200503","2005 March","012","Whole Milk","Million Litres","33.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","200503","2005 March","013","Skimmed and Semi-skimmed milk","Million Litres","11.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","200503","2005 March","014","Skimmed Milk","Million Litres","1.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200503","2005 March","015","Semi-skimmed milk","Million Litres","10.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","200504","2005 April","001","All Milk","Million Litres","40.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","200504","2005 April","012","Whole Milk","Million Litres","30.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200504","2005 April","013","Skimmed and Semi-skimmed milk","Million Litres","10.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200504","2005 April","014","Skimmed Milk","Million Litres","1.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200504","2005 April","015","Semi-skimmed milk","Million Litres","9"
"AKM02","Milk Sales (Dairy) for Human Consumption","200505","2005 May","001","All Milk","Million Litres","44.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200505","2005 May","012","Whole Milk","Million Litres","33.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","200505","2005 May","013","Skimmed and Semi-skimmed milk","Million Litres","11.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200505","2005 May","014","Skimmed Milk","Million Litres","1.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200505","2005 May","015","Semi-skimmed milk","Million Litres","9.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","200506","2005 June","001","All Milk","Million Litres","43.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","200506","2005 June","012","Whole Milk","Million Litres","32.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","200506","2005 June","013","Skimmed and Semi-skimmed milk","Million Litres","11.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","200506","2005 June","014","Skimmed Milk","Million Litres","1.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200506","2005 June","015","Semi-skimmed milk","Million Litres","9.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200507","2005 July","001","All Milk","Million Litres","43.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","200507","2005 July","012","Whole Milk","Million Litres","32.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","200507","2005 July","013","Skimmed and Semi-skimmed milk","Million Litres","11.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","200507","2005 July","014","Skimmed Milk","Million Litres","1.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200507","2005 July","015","Semi-skimmed milk","Million Litres","9.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","200508","2005 August","001","All Milk","Million Litres","45.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","200508","2005 August","012","Whole Milk","Million Litres","33.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","200508","2005 August","013","Skimmed and Semi-skimmed milk","Million Litres","11.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","200508","2005 August","014","Skimmed Milk","Million Litres","1.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200508","2005 August","015","Semi-skimmed milk","Million Litres","10.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","200509","2005 September","001","All Milk","Million Litres","44.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200509","2005 September","012","Whole Milk","Million Litres","32.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","200509","2005 September","013","Skimmed and Semi-skimmed milk","Million Litres","11.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200509","2005 September","014","Skimmed Milk","Million Litres","1.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200509","2005 September","015","Semi-skimmed milk","Million Litres","10"
"AKM02","Milk Sales (Dairy) for Human Consumption","200510","2005 October","001","All Milk","Million Litres","42.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","200510","2005 October","012","Whole Milk","Million Litres","31.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200510","2005 October","013","Skimmed and Semi-skimmed milk","Million Litres","11.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","200510","2005 October","014","Skimmed Milk","Million Litres","1.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200510","2005 October","015","Semi-skimmed milk","Million Litres","9.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200511","2005 November","001","All Milk","Million Litres","43.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200511","2005 November","012","Whole Milk","Million Litres","32.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","200511","2005 November","013","Skimmed and Semi-skimmed milk","Million Litres","11.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","200511","2005 November","014","Skimmed Milk","Million Litres","1.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200511","2005 November","015","Semi-skimmed milk","Million Litres","9.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","200512","2005 December","001","All Milk","Million Litres","42.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","200512","2005 December","012","Whole Milk","Million Litres","31.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","200512","2005 December","013","Skimmed and Semi-skimmed milk","Million Litres","11"
"AKM02","Milk Sales (Dairy) for Human Consumption","200512","2005 December","014","Skimmed Milk","Million Litres","1.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200512","2005 December","015","Semi-skimmed milk","Million Litres","9.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200601","2006 January","001","All Milk","Million Litres","43.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200601","2006 January","012","Whole Milk","Million Litres","32"
"AKM02","Milk Sales (Dairy) for Human Consumption","200601","2006 January","013","Skimmed and Semi-skimmed milk","Million Litres","11.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200601","2006 January","014","Skimmed Milk","Million Litres","1.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200601","2006 January","015","Semi-skimmed milk","Million Litres","10.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","200602","2006 February","001","All Milk","Million Litres","40.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","200602","2006 February","012","Whole Milk","Million Litres","29.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200602","2006 February","013","Skimmed and Semi-skimmed milk","Million Litres","10.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","200602","2006 February","014","Skimmed Milk","Million Litres","1.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200602","2006 February","015","Semi-skimmed milk","Million Litres","9.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200603","2006 March","001","All Milk","Million Litres","46.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","200603","2006 March","012","Whole Milk","Million Litres","33.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","200603","2006 March","013","Skimmed and Semi-skimmed milk","Million Litres","12.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200603","2006 March","014","Skimmed Milk","Million Litres","1.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200603","2006 March","015","Semi-skimmed milk","Million Litres","10.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","200604","2006 April","001","All Milk","Million Litres","41.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200604","2006 April","012","Whole Milk","Million Litres","30.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","200604","2006 April","013","Skimmed and Semi-skimmed milk","Million Litres","11.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","200604","2006 April","014","Skimmed Milk","Million Litres","1.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200604","2006 April","015","Semi-skimmed milk","Million Litres","9.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","200605","2006 May","001","All Milk","Million Litres","44.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","200605","2006 May","012","Whole Milk","Million Litres","32.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200605","2006 May","013","Skimmed and Semi-skimmed milk","Million Litres","11.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","200605","2006 May","014","Skimmed Milk","Million Litres","1.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200605","2006 May","015","Semi-skimmed milk","Million Litres","10.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","200606","2006 June","001","All Milk","Million Litres","42.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","200606","2006 June","012","Whole Milk","Million Litres","31.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","200606","2006 June","013","Skimmed and Semi-skimmed milk","Million Litres","11.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200606","2006 June","014","Skimmed Milk","Million Litres","1.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200606","2006 June","015","Semi-skimmed milk","Million Litres","10"
"AKM02","Milk Sales (Dairy) for Human Consumption","200607","2006 July","001","All Milk","Million Litres","43.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","200607","2006 July","012","Whole Milk","Million Litres","31.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200607","2006 July","013","Skimmed and Semi-skimmed milk","Million Litres","11.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","200607","2006 July","014","Skimmed Milk","Million Litres","1.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200607","2006 July","015","Semi-skimmed milk","Million Litres","10.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","200608","2006 August","001","All Milk","Million Litres","46.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","200608","2006 August","012","Whole Milk","Million Litres","34.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","200608","2006 August","013","Skimmed and Semi-skimmed milk","Million Litres","12.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200608","2006 August","014","Skimmed Milk","Million Litres","1.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200608","2006 August","015","Semi-skimmed milk","Million Litres","11"
"AKM02","Milk Sales (Dairy) for Human Consumption","200609","2006 September","001","All Milk","Million Litres","43.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200609","2006 September","012","Whole Milk","Million Litres","31.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","200609","2006 September","013","Skimmed and Semi-skimmed milk","Million Litres","11.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","200609","2006 September","014","Skimmed Milk","Million Litres","1.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200609","2006 September","015","Semi-skimmed milk","Million Litres","10.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","200610","2006 October","001","All Milk","Million Litres","44.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200610","2006 October","012","Whole Milk","Million Litres","32.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","200610","2006 October","013","Skimmed and Semi-skimmed milk","Million Litres","12.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","200610","2006 October","014","Skimmed Milk","Million Litres","1.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200610","2006 October","015","Semi-skimmed milk","Million Litres","10.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200611","2006 November","001","All Milk","Million Litres","44.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","200611","2006 November","012","Whole Milk","Million Litres","32.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","200611","2006 November","013","Skimmed and Semi-skimmed milk","Million Litres","12"
"AKM02","Milk Sales (Dairy) for Human Consumption","200611","2006 November","014","Skimmed Milk","Million Litres","1.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200611","2006 November","015","Semi-skimmed milk","Million Litres","10.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200612","2006 December","001","All Milk","Million Litres","43.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","200612","2006 December","012","Whole Milk","Million Litres","31.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200612","2006 December","013","Skimmed and Semi-skimmed milk","Million Litres","11.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","200612","2006 December","014","Skimmed Milk","Million Litres","1.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200612","2006 December","015","Semi-skimmed milk","Million Litres","10.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","200701","2007 January","001","All Milk","Million Litres","44.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200701","2007 January","012","Whole Milk","Million Litres","32.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","200701","2007 January","013","Skimmed and Semi-skimmed milk","Million Litres","12.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","200701","2007 January","014","Skimmed Milk","Million Litres","1.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200701","2007 January","015","Semi-skimmed milk","Million Litres","10.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","200702","2007 February","001","All Milk","Million Litres","41.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","200702","2007 February","012","Whole Milk","Million Litres","29.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","200702","2007 February","013","Skimmed and Semi-skimmed milk","Million Litres","12.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200702","2007 February","014","Skimmed Milk","Million Litres","2.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","200702","2007 February","015","Semi-skimmed milk","Million Litres","9.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","200703","2007 March","001","All Milk","Million Litres","45.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","200703","2007 March","012","Whole Milk","Million Litres","32.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200703","2007 March","013","Skimmed and Semi-skimmed milk","Million Litres","12.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","200703","2007 March","014","Skimmed Milk","Million Litres","1.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200703","2007 March","015","Semi-skimmed milk","Million Litres","11.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","200704","2007 April","001","All Milk","Million Litres","42.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200704","2007 April","012","Whole Milk","Million Litres","30.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200704","2007 April","013","Skimmed and Semi-skimmed milk","Million Litres","12.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","200704","2007 April","014","Skimmed Milk","Million Litres","1.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200704","2007 April","015","Semi-skimmed milk","Million Litres","10.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200705","2007 May","001","All Milk","Million Litres","44.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200705","2007 May","012","Whole Milk","Million Litres","31.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","200705","2007 May","013","Skimmed and Semi-skimmed milk","Million Litres","12.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","200705","2007 May","014","Skimmed Milk","Million Litres","1.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200705","2007 May","015","Semi-skimmed milk","Million Litres","11.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","200706","2007 June","001","All Milk","Million Litres","43.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","200706","2007 June","012","Whole Milk","Million Litres","30.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","200706","2007 June","013","Skimmed and Semi-skimmed milk","Million Litres","12.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200706","2007 June","014","Skimmed Milk","Million Litres","1.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200706","2007 June","015","Semi-skimmed milk","Million Litres","10.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","200707","2007 July","001","All Milk","Million Litres","43.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","200707","2007 July","012","Whole Milk","Million Litres","31.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","200707","2007 July","013","Skimmed and Semi-skimmed milk","Million Litres","12.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","200707","2007 July","014","Skimmed Milk","Million Litres","1.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200707","2007 July","015","Semi-skimmed milk","Million Litres","11.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","200708","2007 August","001","All Milk","Million Litres","45.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","200708","2007 August","012","Whole Milk","Million Litres","32.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","200708","2007 August","013","Skimmed and Semi-skimmed milk","Million Litres","13.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200708","2007 August","014","Skimmed Milk","Million Litres","1.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","200708","2007 August","015","Semi-skimmed milk","Million Litres","11.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200709","2007 September","001","All Milk","Million Litres","44.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","200709","2007 September","012","Whole Milk","Million Litres","31.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","200709","2007 September","013","Skimmed and Semi-skimmed milk","Million Litres","13"
"AKM02","Milk Sales (Dairy) for Human Consumption","200709","2007 September","014","Skimmed Milk","Million Litres","1.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","200709","2007 September","015","Semi-skimmed milk","Million Litres","11.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","200710","2007 October","001","All Milk","Million Litres","45.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200710","2007 October","012","Whole Milk","Million Litres","31.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","200710","2007 October","013","Skimmed and Semi-skimmed milk","Million Litres","13.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200710","2007 October","014","Skimmed Milk","Million Litres","1.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","200710","2007 October","015","Semi-skimmed milk","Million Litres","11.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200711","2007 November","001","All Milk","Million Litres","44.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","200711","2007 November","012","Whole Milk","Million Litres","30.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","200711","2007 November","013","Skimmed and Semi-skimmed milk","Million Litres","13.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200711","2007 November","014","Skimmed Milk","Million Litres","1.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","200711","2007 November","015","Semi-skimmed milk","Million Litres","11.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200712","2007 December","001","All Milk","Million Litres","43.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","200712","2007 December","012","Whole Milk","Million Litres","30.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","200712","2007 December","013","Skimmed and Semi-skimmed milk","Million Litres","13"
"AKM02","Milk Sales (Dairy) for Human Consumption","200712","2007 December","014","Skimmed Milk","Million Litres","1.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","200712","2007 December","015","Semi-skimmed milk","Million Litres","11.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","200801","2008 January","001","All Milk","Million Litres","44.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","200801","2008 January","012","Whole Milk","Million Litres","30.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","200801","2008 January","013","Skimmed and Semi-skimmed milk","Million Litres","13.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","200801","2008 January","014","Skimmed Milk","Million Litres","2.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","200801","2008 January","015","Semi-skimmed milk","Million Litres","11.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","200802","2008 February","001","All Milk","Million Litres","42.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","200802","2008 February","012","Whole Milk","Million Litres","29.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","200802","2008 February","013","Skimmed and Semi-skimmed milk","Million Litres","13"
"AKM02","Milk Sales (Dairy) for Human Consumption","200802","2008 February","014","Skimmed Milk","Million Litres","1.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","200802","2008 February","015","Semi-skimmed milk","Million Litres","11.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","200803","2008 March","001","All Milk","Million Litres","43.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","200803","2008 March","012","Whole Milk","Million Litres","29.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","200803","2008 March","013","Skimmed and Semi-skimmed milk","Million Litres","13.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200803","2008 March","014","Skimmed Milk","Million Litres","1.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","200803","2008 March","015","Semi-skimmed milk","Million Litres","11.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200804","2008 April","001","All Milk","Million Litres","45.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200804","2008 April","012","Whole Milk","Million Litres","31.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200804","2008 April","013","Skimmed and Semi-skimmed milk","Million Litres","14.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","200804","2008 April","014","Skimmed Milk","Million Litres","2"
"AKM02","Milk Sales (Dairy) for Human Consumption","200804","2008 April","015","Semi-skimmed milk","Million Litres","12.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","200805","2008 May","001","All Milk","Million Litres","43.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200805","2008 May","012","Whole Milk","Million Litres","29.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","200805","2008 May","013","Skimmed and Semi-skimmed milk","Million Litres","13.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","200805","2008 May","014","Skimmed Milk","Million Litres","1.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","200805","2008 May","015","Semi-skimmed milk","Million Litres","11.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","200806","2008 June","001","All Milk","Million Litres","42.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","200806","2008 June","012","Whole Milk","Million Litres","29.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","200806","2008 June","013","Skimmed and Semi-skimmed milk","Million Litres","13.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","200806","2008 June","014","Skimmed Milk","Million Litres","1.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","200806","2008 June","015","Semi-skimmed milk","Million Litres","11.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","200807","2008 July","001","All Milk","Million Litres","43.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","200807","2008 July","012","Whole Milk","Million Litres","29.7"
