"STATISTIC","STATISTIC Label","TLIST(M1)","Month","C02064V02491","Type of Milk","UNIT","VALUE"
"AKM02","Milk Sales (Dairy) for Human Consumption","198109","1981 September","001","All Milk","Million Litres","39.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","198109","1981 September","012","Whole Milk","Million Litres","39.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","198109","1981 September","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198109","1981 September","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198109","1981 September","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198110","1981 October","001","All Milk","Million Litres","38.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","198110","1981 October","012","Whole Milk","Million Litres","38.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","198110","1981 October","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198110","1981 October","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198110","1981 October","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198111","1981 November","001","All Milk","Million Litres","38.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","198111","1981 November","012","Whole Milk","Million Litres","38.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","198111","1981 November","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198111","1981 November","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198111","1981 November","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198112","1981 December","001","All Milk","Million Litres","39.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","198112","1981 December","012","Whole Milk","Million Litres","39.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","198112","1981 December","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198112","1981 December","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198112","1981 December","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198201","1982 January","001","All Milk","Million Litres","40.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","198201","1982 January","012","Whole Milk","Million Litres","40.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","198201","1982 January","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198201","1982 January","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198201","1982 January","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198202","1982 February","001","All Milk","Million Litres","39.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","198202","1982 February","012","Whole Milk","Million Litres","39.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","198202","1982 February","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198202","1982 February","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198202","1982 February","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198203","1982 March","001","All Milk","Million Litres","43.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198203","1982 March","012","Whole Milk","Million Litres","43.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198203","1982 March","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198203","1982 March","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198203","1982 March","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198204","1982 April","001","All Milk","Million Litres","42.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","198204","1982 April","012","Whole Milk","Million Litres","42.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","198204","1982 April","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198204","1982 April","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198204","1982 April","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198205","1982 May","001","All Milk","Million Litres","43.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","198205","1982 May","012","Whole Milk","Million Litres","43.1"
